seqName	alignmentAssignedSegment	diamondAssignedSegment	total_length	weighted_identity_sum	n_hits	composite_score
LOC_00004F0.1	h2n2	h1n1	155	41385.0	1	267.0
LOC_0000SAN.1	h1n1	h2n2	343	115730.0	2	337.40524781341105
LOC_0000SBL.1	h1n1	h2n2	343	116650.0	2	340.08746355685133
LOC_0000SDG.1	h1n1	h2n2	343	115960.0	2	338.07580174927114
LOC_0000SEE.1	h3n2	h2n2	350	130110.0	2	371.74285714285713
LOC_0000SPV.1	h1n1	h2n2	343	115960.0	2	338.07580174927114
LOC_0000U30.1	h3n2	h2n2	350	128214.0	2	366.3257142857143
LOC_0000U6U.1	h3n2	h2n2	350	129399.0	2	369.7114285714286
LOC_0000UG8.1	h3n2	h2n2	350	129771.0	2	370.7742857142857
LOC_0000UZ7.1	h1n1	h2n2	343	116880.0	2	340.75801749271136
LOC_0000V5V.1	h1n1	h2n2	343	116880.0	2	340.75801749271136
LOC_0000V6T.1	h1n1	h2n2	343	116420.0	2	339.41690962099125
LOC_0000V9M.1	h1n1	h2n2	343	116650.0	2	340.08746355685133
LOC_0000VAK.1	h1n1	h2n2	343	116650.0	2	340.08746355685133
LOC_0000VBH.1	h1n1	h2n2	343	116420.0	2	339.41690962099125
LOC_0000VCF.1	h1n1	h2n2	343	116650.0	2	340.08746355685133
LOC_0000VDD.1	h1n1	h2n2	343	115960.0	2	338.07580174927114
LOC_0000VH4.1	h1n1	h2n2	343	117683.0	2	343.0991253644315
LOC_0000VJ2.1	h1n1	h2n2	343	117683.0	2	343.0991253644315
LOC_0000VLY.1	h1n1	h2n2	350	127627.0	2	364.6485714285714
LOC_0000XPQ.1	h1n1	h2n2	343	116650.0	2	340.08746355685133
LOC_0000XSJ.1	h1n1	h2n2	343	115730.0	2	337.40524781341105
LOC_0000Y10.1	h2n2	h1n1	343	116787.0	2	340.4868804664723
LOC_0000ZCB.1	h3n2	h2n2	350	129162.0	2	369.0342857142857
LOC_0000ZRJ.1	h2n2	h3n2	343	123191.0	2	359.15743440233234
LOC_000119D.1	h2n2	h1n1	343	115173.0	2	335.7813411078717
LOC_00011AB.1	h2n2	h1n1	343	114257.0	2	333.11078717201167
LOC_00011PJ.1	h2n2	h1n1	343	115976.0	2	338.1224489795918
LOC_00011Y0.1	h2n2	h1n1	343	115173.0	2	335.7813411078717
LOC_00011ZY.1	h1n1	h2n2	343	115500.0	2	336.734693877551
LOC_000122S.1	h2n2	h1n1	343	115173.0	2	335.7813411078717
LOC_000123Q.1	h2n2	h1n1	343	115177.0	2	335.7930029154519
LOC_00012B8.1	h2n2	h1n1	343	115173.0	2	335.7813411078717
LOC_00012D4.1	h2n2	h1n1	343	114257.0	2	333.11078717201167
LOC_00012MM.1	h2n2	h1n1	343	115177.0	2	335.7930029154519
LOC_0001EVT.1	h1n1	h2n2	343	115387.0	2	336.40524781341105
LOC_000251P.1	h1n1	h2n2	343	115387.0	2	336.40524781341105
LOC_0002589.1	h1n1	h2n2	343	115387.0	2	336.40524781341105
LOC_00025A5.1	h1n1	h2n2	343	115157.0	2	335.734693877551
LOC_00025B3.1	h1n1	h2n2	343	115157.0	2	335.734693877551
LOC_00025C1.1	h1n1	h2n2	343	115621.0	2	337.08746355685133
LOC_00025DZ.1	h1n1	h2n2	343	115157.0	2	335.734693877551
LOC_00025EX.1	h1n1	h2n2	343	115157.0	2	335.734693877551
LOC_00025FV.1	h1n1	h2n2	343	114467.0	2	333.7230320699708
LOC_00026R7.1	h1n1	h2n2	350	127018.0	2	362.9085714285714
LOC_00026T3.1	h3n2	h2n2	350	130110.0	2	371.74285714285713
LOC_000285C.1	h1n1	h2n2	343	114927.0	2	335.06413994169094
LOC_000286A.1	h1n1	h2n2	343	114927.0	2	335.06413994169094
LOC_0002878.1	h1n1	h2n2	343	114467.0	2	333.7230320699708
LOC_0002886.1	h1n1	h2n2	343	114927.0	2	335.06413994169094
LOC_0002894.1	h1n1	h2n2	343	115387.0	2	336.40524781341105
LOC_0002GTT.1	h1n1	h2n2	343	115500.0	2	336.734693877551
LOC_0002GUR.1	h1n1	h2n2	343	115500.0	2	336.734693877551
LOC_0002NFC.1	h1n1	h2n2	343	115040.0	2	335.3935860058309
LOC_0002QVF.1	h1n1	h2n2	343	115730.0	2	337.40524781341105
LOC_0002RCF.1	h1n1	h2n2	343	115730.0	2	337.40524781341105
LOC_0002RNU.1	h1n1	h2n2	343	114467.0	2	333.7230320699708
LOC_0002TLW.1	h1n1	h2n2	343	115730.0	2	337.40524781341105
LOC_0002TRL.1	h1n1	h2n2	343	115730.0	2	337.40524781341105
LOC_0002TVC.1	h1n1	h2n2	343	115040.0	2	335.3935860058309
LOC_000323L.1	h3n2	h2n2	350	130347.0	2	372.42
LOC_000324J.1	h3n2	h2n2	350	128451.0	2	367.0028571428571
LOC_000325G.1	h3n2	h2n2	350	128925.0	2	368.35714285714283
LOC_000326E.1	h3n2	h2n2	350	128925.0	2	368.35714285714283
LOC_00035ME.1	h1n1	h2n2	343	114814.0	2	334.734693877551
LOC_000364E.1	h1n1	h2n2	343	118143.0	2	344.4402332361516
LOC_000365C.1	h1n1	h2n2	343	117340.0	2	342.0991253644315
LOC_000366A.1	h1n1	h2n2	343	118143.0	2	344.4402332361516
LOC_0003678.1	h1n1	h2n2	343	115500.0	2	336.734693877551
LOC_0003686.1	h1n1	h2n2	343	115500.0	2	336.734693877551
LOC_00036A2.1	h1n1	h2n2	343	115157.0	2	335.734693877551
LOC_00036B0.1	h1n1	h2n2	343	115617.0	2	337.07580174927114
LOC_00037ET.1	h3n2	h2n2	350	130110.0	2	371.74285714285713
LOC_00037WU.1	h1n1	h2n2	350	127966.0	2	365.6171428571429
LOC_0003ACU.1	h1n1	h2n2	343	115500.0	2	336.734693877551
LOC_0003TQL.1	h1n1	h2n2	350	126566.0	2	361.6171428571429
LOC_0003TY4.1	h1n1	h2n2	350	128440.0	2	366.9714285714286
LOC_0003ZYY.1	h1n1	h2n2	343	115157.0	2	335.734693877551
LOC_000401Q.1	h1n1	h2n2	343	115157.0	2	335.734693877551
LOC_00040EY.1	h1n1	h2n2	343	115157.0	2	335.734693877551
LOC_00040PD.1	h1n1	h2n2	343	115157.0	2	335.734693877551
LOC_000464C.1	h1n1	h2n2	343	115044.0	2	335.40524781341105
LOC_0004668.1	h1n1	h2n2	343	115387.0	2	336.40524781341105
LOC_00046CW.1	h1n1	h2n2	343	114697.0	2	334.3935860058309
LOC_0005WZV.1	h1n1	h2n2	337	108685.0	2	322.5074183976261
LOC_0006KBF.1	h1n1	h2n2	343	116303.0	2	339.07580174927114
LOC_000797X.1	h1n1	h2n2	343	115847.0	2	337.7463556851312
LOC_0007V97.1	h2n2	h1n1	294	99130.0	2	337.17687074829934
LOC_0008BJ4.1	h1n1	h2n2	343	115387.0	2	336.40524781341105
