seqName	alignmentAssignedSegment	index	sortAssignedSegment	score	numHits
LOC_0000WNT.1	h1n1pdm	168	h2n2	0.3037615018528908	155
LOC_0000WPR.1	h1n1	169	h2n2	0.3057212534777482	156
LOC_00014HT.1	h2n2	265	h3n2	0.4087304092929455	208
LOC_0001EUV.1	h2n2	333	h1n1	0.4384242011648483	227
LOC_00036B0.1	h2n2	1016	h1n1	0.4369606798449303	224
LOC_0004791.1	h1n1	1252	h2n2	0.4243108467769055	215
LOC_0006K5T.1	h2n2	1807	h1n1	0.4111498969531212	196
LOC_0007480.1	h2n2	1898	h1n1	0.423817127165579	214
LOC_00074HF.1	h2n2	1906	h1n1	0.4356998503571374	220
LOC_00077EK.1	h1n1	1924	h1n1pdm	0.4087301587301587	206
LOC_00080WR.1	h2n2	1983	h1n1	0.4246802985040018	214
LOC_0009QMH.1	h1n1pdm	2281	h1n1	0.3016420811804125	152
LOC_0009W4C.1	h1n1pdm	2304	h1n1	0.2976731064280386	150
LOC_000A00E.1	h1n1pdm	2322	h1n1	0.3016420811804125	152
LOC_000A830.1	h1n1	2383	h1n1pdm	0.3075396825396825	155
LOC_000AUXR.1	h1n1	2517	h2n2	0.3245737401829875	40
LOC_000AUZM.1	h3n2	2519	h2n2	0.3326880836875622	41
LOC_000AV0K.1	h3n2	2520	h2n2	0.3245737401829875	40
LOC_000AV1H.1	h3n2	2521	h2n2	0.3245737401829875	40
LOC_000B250.1	h1n1pdm	2543	h1n1	0.3016420811804125	152
LOC_000CV39.1	h1n1	3021	h1n1pdm	0.3869047619047619	195
LOC_000QX2J.1	h1n1	6082	h1n1pdm	0.4027777777777778	203
LOC_000TSXS.1	h1n1	7783	h1n1pdm	0.3630952380952381	183
