seqName	alignmentAssignedSegment	diamondAssignedSegment	total_length	weighted_identity_sum	n_hits	composite_score
LOC_00004E2.1	h1n1	h2n2	260	66560.0	1	256.0
LOC_00004F0.1	h1n1	h2n2	258	65790.0	1	255.0
LOC_0000SAN.1	h1n1	h2n2	1518	2211726.0	1	1457.0
LOC_0000SBL.1	h1n1	h2n2	1518	2196546.0	1	1447.0
LOC_0000SDG.1	h1n1	h2n2	1518	2207172.0	1	1454.0
LOC_0000SK3.1	h1n1	h2n2	1518	2196546.0	1	1447.0
LOC_0000SL1.1	h2n2	h3n2	759	1114971.0	1	1469.0
LOC_0000SPV.1	h1n1	h2n2	1518	2211726.0	1	1457.0
LOC_0000UJ3.1	h3n2	h2n2	1518	2232978.0	1	1471.0
LOC_0000UNV.1	h2n2	h3n2	759	1116489.0	1	1471.0
LOC_0000UZ7.1	h1n1	h2n2	1518	2202618.0	1	1451.0
LOC_0000V05.1	h1n1	h2n2	1518	2219316.0	1	1462.0
LOC_0000V5V.1	h1n1	h2n2	1518	2204136.0	1	1452.0
LOC_0000V6T.1	h1n1	h2n2	1518	2201100.0	1	1450.0
LOC_0000V9M.1	h1n1	h2n2	1518	2198064.0	1	1448.0
LOC_0000VAK.1	h1n1	h2n2	1518	2198064.0	1	1448.0
LOC_0000VBH.1	h1n1	h2n2	1518	2201100.0	1	1450.0
LOC_0000VCF.1	h1n1	h2n2	1518	2198064.0	1	1448.0
LOC_0000VDD.1	h1n1	h2n2	1518	2201100.0	1	1450.0
LOC_0000VH4.1	h1n1	h2n2	1518	2205654.0	1	1453.0
LOC_0000VJ2.1	h1n1	h2n2	1518	2205654.0	1	1453.0
LOC_0000VK0.1	h1n1	h2n2	1518	2217798.0	1	1461.0
LOC_0000VLY.1	h1n1	h2n2	1518	2213244.0	1	1458.0
LOC_0000VMW.1	h1n1	h2n2	1518	2211726.0	1	1457.0
LOC_0000VNU.1	h1n1	h2n2	1518	2201100.0	1	1450.0
LOC_0000VPS.1	h1n1	h2n2	1518	2196546.0	1	1447.0
LOC_0000W5U.1	h1n1	h2n2	1518	2201100.0	1	1450.0
LOC_0000WZ5.1	h1n1	h2n2	1518	2204136.0	1	1452.0
LOC_0000XPQ.1	h1n1	h2n2	1518	2198064.0	1	1448.0
LOC_0000XSJ.1	h1n1	h2n2	1518	2201100.0	1	1450.0
LOC_0000Y10.1	h1n1	h2n2	1518	2196546.0	1	1447.0
LOC_0000Y4U.1	h1n1	h2n2	1518	2210208.0	1	1456.0
LOC_0000Y5S.1	h1n1	h2n2	1518	2207172.0	1	1454.0
LOC_0000YAG.1	h1n1	h2n2	1518	2207172.0	1	1454.0
LOC_0000YJZ.1	h1n1	h2n2	1518	2208690.0	1	1455.0
LOC_0000Z1Z.1	h1n1	h2n2	1518	2204136.0	1	1452.0
LOC_0000ZAF.1	h1n1	h2n2	1518	2211726.0	1	1457.0
LOC_0000ZCB.1	h2n2	h3n2	759	1114212.0	1	1468.0
LOC_0000ZE7.1	h1n1	h2n2	1518	2207172.0	1	1454.0
LOC_0000ZF5.1	h1n1	h2n2	1518	2214762.0	1	1459.0
LOC_0000ZH0.1	h1n1	h2n2	1518	2195028.0	1	1446.0
LOC_0000ZJY.1	h1n1	h2n2	1518	2213244.0	1	1458.0
LOC_0000ZKW.1	h1n1	h2n2	1518	2204136.0	1	1452.0
LOC_0000ZZ2.1	h1n1	h2n2	1518	2201100.0	1	1450.0
LOC_000100Y.1	h1n1	h2n2	1518	2226906.0	1	1467.0
LOC_00010KT.1	h1n1	h2n2	1518	2202618.0	1	1451.0
