seqName	alignmentAssignedSegment	diamondAssignedSegment	total_length	weighted_identity_sum	n_hits	composite_score
LOC_0000SL1.1	h2n2	h3n2	907	1095124.0	2	1207.4134509371554
LOC_0000UJ3.1	h2n2	h3n2	907	1096747.0	2	1209.2028665931643
LOC_0001H55.1	h1n1	h2n2	121	28798.0	1	238.0
LOC_000356B.1	h2n2	h1n1	540	468808.0	2	868.162962962963
LOC_0004791.1	h1n1	h1n1pdm	861	464898.0	2	539.9512195121952
LOC_000A4TP.1	h1n1pdm	h1n1	891	1023052.0	2	1148.206509539843
LOC_000A4UM.1	h1n1pdm	h1n1	897	1039169.0	2	1158.4938684503902
LOC_000NSY0.1	h3n2	h1n1pdm	713	747434.0	2	1048.2945301542777
LOC_000QJ2X.1	h1n1pdm	h1n1	907	1073309.0	2	1183.361631753032
LOC_000UJ5H.1	h1n1pdm	h1n1	907	1070063.0	2	1179.7828004410144
LOC_000W6MS.1	h3n2	h1n1	907	1078417.0	2	1188.9933847850054
LOC_000W6UC.1	h3n2	h2n2	907	961564.0	2	1060.1587651598677
