seqName	alignmentAssignedSegment	index	sortAssignedSegment	score	numHits
LOC_0000SAN.1	h1n1	46	h2n2	0.3953892467280805	448
LOC_0000SDG.1	h1n1	49	h2n2	0.3865624531428235	435
LOC_0000UJ3.1	h3n2	83	h2n2	0.6296785631048671	704
LOC_000119D.1	h1n1	205	h2n2	0.3766404903275234	420
LOC_00011AB.1	h1n1	206	h2n2	0.3618675192119965	403
LOC_00011ZY.1	h1n1	219	h2n2	0.3804367227714294	427
LOC_000127G.1	h1n1	225	h2n2	0.3788366447900746	423
LOC_00012B8.1	h1n1	229	h2n2	0.3834408466987016	430
LOC_00012NK.1	h1n1	239	h2n2	0.3768043182919982	420
LOC_0001YV9.1	h2n2	472	h3n2	0.6261199818128326	700
LOC_000464C.1	h1n1	1024	h2n2	0.3740384834858825	420
LOC_0005PW8.1	h1n1	1557	h1n1pdm	0.2847985347985348	311
LOC_0006KBF.1	h1n1	1572	h2n2	0.3896334526908894	436
LOC_000A830.1	h1n1pdm	1797	h1n1	0.2467537543228006	267
LOC_000E2NT.1	h1n1pdm	2479	h1n1	0.2430570688647812	263
LOC_000KDHF.1	h1n1	4251	h1n1pdm	0.2619047619047619	286
LOC_000US59.1	h1n1	9520	h1n1pdm	0.2582417582417582	282
