seqName	alignmentAssignedSegment	index	sortAssignedSegment	score	numHits
LOC_0000SAN.1	h1n1	3330	h2n2	0.3940886699507389	160
LOC_0000SBL.1	h1n1	3331	h2n2	0.3940886699507389	160
LOC_0000SDG.1	h1n1	3333	h2n2	0.3990147783251231	162
LOC_0000SEE.1	h3n2	3334	h2n2	0.7315270935960592	297
LOC_0000SPV.1	h1n1	3343	h2n2	0.3990147783251231	162
LOC_0000U30.1	h3n2	3352	h2n2	0.6502463054187192	264
LOC_0000U6U.1	h3n2	3355	h2n2	0.6896551724137931	280
LOC_0000UG8.1	h3n2	3365	h2n2	0.729064039408867	296
LOC_0000UZ7.1	h1n1	3382	h2n2	0.4211822660098522	171
LOC_0000V5V.1	h1n1	3388	h2n2	0.4211822660098522	171
LOC_0000V6T.1	h1n1	3389	h2n2	0.3891625615763547	158
LOC_0000V9M.1	h1n1	3391	h2n2	0.4014778325123153	163
LOC_0000VAK.1	h1n1	3392	h2n2	0.4014778325123153	163
LOC_0000VBH.1	h1n1	3393	h2n2	0.3793103448275862	154
LOC_0000VCF.1	h1n1	3394	h2n2	0.4014778325123153	163
LOC_0000VDD.1	h1n1	3395	h2n2	0.3793103448275862	154
LOC_0000VH4.1	h1n1	3399	h2n2	0.4704433497536945	191
LOC_0000VJ2.1	h1n1	3400	h2n2	0.4704433497536945	191
LOC_0000VLY.1	h1n1	3402	h2n2	0.5591133004926109	227
LOC_0000XPQ.1	h1n1	3448	h2n2	0.3891625615763547	158
LOC_0000XSJ.1	h1n1	3451	h2n2	0.3891625615763547	158
LOC_00011ZY.1	h1n1	3505	h2n2	0.3990147783251231	162
LOC_0001EVT.1	h1n1	3588	h2n2	0.3916256157635468	159
LOC_000251P.1	h1n1	3819	h2n2	0.3793103448275862	154
LOC_0002589.1	h1n1	3823	h2n2	0.3817733990147783	155
LOC_00025A5.1	h1n1	3824	h2n2	0.3743842364532019	152
LOC_00025B3.1	h1n1	3825	h2n2	0.3793103448275862	154
LOC_00025C1.1	h1n1	3826	h2n2	0.3793103448275862	154
LOC_00025DZ.1	h1n1	3827	h2n2	0.3669950738916256	149
LOC_00025EX.1	h1n1	3828	h2n2	0.3743842364532019	152
LOC_00025FV.1	h1n1	3829	h2n2	0.3596059113300492	146
LOC_00026R7.1	h1n1	3842	h2n2	0.5960591133004927	242
LOC_00026T3.1	h3n2	3844	h2n2	0.7315270935960592	297
LOC_000285C.1	h1n1	3849	h2n2	0.3793103448275862	154
LOC_000286A.1	h1n1	3850	h2n2	0.3793103448275862	154
LOC_0002878.1	h1n1	3851	h2n2	0.3596059113300492	146
LOC_0002886.1	h1n1	3852	h2n2	0.3694581280788177	150
LOC_0002894.1	h1n1	3853	h2n2	0.3719211822660098	151
LOC_0002GTT.1	h1n1	3904	h2n2	0.3694581280788177	150
LOC_0002GUR.1	h1n1	3905	h2n2	0.3694581280788177	150
LOC_0002NFC.1	h1n1	3964	h2n2	0.3916256157635468	159
LOC_0002QVF.1	h1n1	3980	h2n2	0.4113300492610837	167
LOC_0002RCF.1	h1n1	3981	h2n2	0.4113300492610837	167
LOC_0002RNU.1	h1n1	3982	h2n2	0.3768472906403941	153
LOC_0002TLW.1	h1n1	3983	h2n2	0.4113300492610837	167
LOC_0002TRL.1	h1n1	3988	h2n2	0.3990147783251231	162
LOC_0002TVC.1	h1n1	3991	h2n2	0.3719211822660098	151
LOC_000323L.1	h3n2	4043	h2n2	0.7093596059113301	288
LOC_000324J.1	h3n2	4044	h2n2	0.6650246305418719	270
LOC_000325G.1	h3n2	4045	h2n2	0.6576354679802956	267
LOC_000326E.1	h3n2	4046	h2n2	0.6551724137931034	266
LOC_00035ME.1	h1n1	4074	h2n2	0.354679802955665	144
LOC_000364E.1	h1n1	4085	h2n2	0.4802955665024631	195
LOC_000365C.1	h1n1	4086	h2n2	0.4261083743842364	173
LOC_000366A.1	h1n1	4087	h2n2	0.4655172413793103	189
LOC_0003678.1	h1n1	4088	h2n2	0.3891625615763547	158
