seqName	alignmentAssignedSegment	diamondAssignedSegment	total_length	weighted_identity_sum	n_hits	composite_score
LOC_000030X.1	h3n2	h1n1pdm	757	1117332.0	1	1476.0
LOC_00004E2.1	h1n1	h3n2	136	35632.0	1	262.0
LOC_00004F0.1	h1n1	h3n2	139	37113.0	1	267.0
LOC_00004GY.1	h1n1	h3n2	137	36168.0	1	264.0
LOC_0000CNB.1	h3n2	h1n1pdm	757	1110519.0	1	1467.0
LOC_0000R9R.1	h3n2	h1n1pdm	757	1118846.0	1	1478.0
LOC_0000RAP.1	h3n2	h1n1pdm	757	1119603.0	1	1479.0
LOC_0000RBM.1	h3n2	h1n1pdm	757	1119603.0	1	1479.0
LOC_0000RDH.1	h3n2	h1n1pdm	757	1116575.0	1	1475.0
LOC_0000REF.1	h3n2	h1n1pdm	757	1116575.0	1	1475.0
LOC_0000RFD.1	h3n2	h1n1pdm	757	1120360.0	1	1480.0
LOC_0000RGB.1	h3n2	h1n1pdm	757	1119603.0	1	1479.0
LOC_0000RH8.1	h3n2	h1n1pdm	757	1117332.0	1	1476.0
LOC_0000RJ6.1	h3n2	h1n1pdm	757	1120360.0	1	1480.0
LOC_0000RK4.1	h3n2	h1n1pdm	757	1119603.0	1	1479.0
LOC_0000RL2.1	h3n2	h1n1pdm	757	1120360.0	1	1480.0
LOC_0000RM0.1	h3n2	h1n1pdm	757	1121117.0	1	1481.0
LOC_0000RNY.1	h3n2	h1n1pdm	757	1120360.0	1	1480.0
LOC_0000RPW.1	h3n2	h1n1pdm	757	1118846.0	1	1478.0
LOC_0000RQU.1	h3n2	h1n1pdm	757	1118089.0	1	1477.0
LOC_0000RRS.1	h3n2	h1n1pdm	757	1118089.0	1	1477.0
LOC_0000RSQ.1	h3n2	h1n1pdm	757	1118089.0	1	1477.0
LOC_0000RTN.1	h3n2	h1n1pdm	757	1115818.0	1	1474.0
LOC_0000RUL.1	h3n2	h1n1pdm	757	1115818.0	1	1474.0
LOC_0000RVJ.1	h3n2	h1n1pdm	757	1115818.0	1	1474.0
LOC_0000RWG.1	h3n2	h1n1pdm	757	1121117.0	1	1481.0
LOC_0000RXE.1	h3n2	h1n1pdm	757	1118089.0	1	1477.0
LOC_0000RYC.1	h3n2	h1n1pdm	757	1121874.0	1	1482.0
LOC_0000RZA.1	h3n2	h1n1pdm	757	1119603.0	1	1479.0
LOC_0000S08.1	h3n2	h1n1pdm	757	1121874.0	1	1482.0
