seqName	alignmentAssignedSegment	index	sortAssignedSegment	score	numHits
LOC_00004E2.1	h2n2	3817	h1n1	0.2865670548597378	70
LOC_00004F0.1	h2n2	3818	h1n1	0.2645044730017192	58
LOC_00004GY.1	h2n2	3819	h1n1	0.296225190633281	63
LOC_0000KJC.1	h2n2	3824	h3n2	0.4263425636698498	302
LOC_0000KL8.1	h2n2	3825	h1n1	0.4150532320286462	293
LOC_0000S9Q.1	h2n2	3859	h3n2	0.4407468570210952	317
LOC_0000SEE.1	h2n2	3864	h3n2	0.4702467343976778	342
LOC_0000SK3.1	h2n2	3869	h1n1	0.3789764573072801	272
LOC_0000TXC.1	h2n2	3876	h3n2	0.353513158634069	229
LOC_0000U30.1	h2n2	3882	h3n2	0.4523673444432334	326
LOC_0000U5W.1	h2n2	3884	h3n2	0.4724145365690055	340
LOC_0000U6U.1	h2n2	3885	h3n2	0.4890879908008528	352
LOC_0000UG8.1	h2n2	3895	h3n2	0.4726364941599513	350
LOC_0000UZ7.1	h2n2	3912	h1n1	0.380796716230012	276
LOC_0000V05.1	h2n2	3913	h1n1	0.463277194540476	336
LOC_0000V5V.1	h2n2	3918	h1n1	0.380796716230012	276
LOC_0000V6T.1	h2n2	3919	h1n1	0.3656200355106999	265
LOC_0000VBH.1	h2n2	3923	h1n1	0.3656200355106999	265
LOC_0000VDD.1	h2n2	3925	h1n1	0.3711388284995406	269
LOC_0000VH4.1	h2n2	3929	h1n1	0.4056312846797954	294
LOC_0000VJ2.1	h2n2	3930	h1n1	0.4024691752153123	290
LOC_0000VK0.1	h2n2	3931	h1n1	0.4650915960856736	336
LOC_0000VLY.1	h2n2	3932	h1n1	0.4484019303433113	325
LOC_0000VMW.1	h2n2	3933	h1n1	0.4398066107477455	314
LOC_0000VNU.1	h2n2	3934	h1n1	0.3791242725786786	273
LOC_0000VPS.1	h2n2	3935	h1n1	0.3686788175071293	266
LOC_0000W5U.1	h2n2	3951	h1n1	0.4005881868594115	286
LOC_0000WKZ.1	h1n1	3965	h1n1pdm	0.2489959839357429	186
LOC_0000WLX.1	h1n1	3966	h1n1pdm	0.2409638554216867	180
LOC_0000WMV.1	h1n1	3967	h1n1pdm	0.251673360107095	188
LOC_0000WNT.1	h1n1	3968	h1n1pdm	0.2489959839357429	186
LOC_0000WPR.1	h1n1	3969	h1n1pdm	0.251673360107095	188
LOC_0000WZ5.1	h2n2	3971	h1n1	0.4210316755715538	300
LOC_0000XPQ.1	h2n2	3978	h1n1	0.36916138140439	266
LOC_0000XSJ.1	h2n2	3981	h1n1	0.3571677889830417	255
LOC_0000Y10.1	h2n2	3985	h1n1	0.3403598930308986	243
LOC_0000Y4U.1	h2n2	3987	h1n1	0.4443947517405757	320
LOC_0000Y5S.1	h2n2	3988	h1n1	0.4432336942572561	320
LOC_0000YAG.1	h2n2	3991	h1n1	0.4444613598566997	319
LOC_0000YJZ.1	h2n2	3994	h1n1	0.4473890101409178	323
LOC_0000YW9.1	h1n1	3996	h1n1pdm	0.2449799196787148	183
LOC_0000Z1Z.1	h2n2	3998	h1n1	0.3969178762468253	286
LOC_0000ZAF.1	h2n2	4001	h1n1	0.4673910538974585	337
LOC_0000ZE7.1	h2n2	4004	h1n1	0.4010813504731906	289
LOC_0000ZF5.1	h2n2	4005	h1n1	0.4538186906738177	327
LOC_0000ZG3.1	h2n2	4006	h3n2	0.4428124438430883	321
LOC_0000ZH0.1	h2n2	4007	h1n1	0.3677735566622682	265
LOC_0000ZJY.1	h2n2	4008	h1n1	0.4371647937683565	315
LOC_0000ZKW.1	h2n2	4009	h1n1	0.3753763429311968	268
LOC_0000ZLU.1	h2n2	4010	h1n1	0.419657763310046	301
LOC_0000ZQL.1	h2n2	4011	h3n2	0.4915437284204142	354
