seqName	alignmentAssignedSegment	diamondAssignedSegment	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
LOC_0000CQ7.1	h3n2	h2n2	99.5	191	1	0	25	597	1	191	1.43e-133	388.0
LOC_0000RJ6.1	h3n2	h2n2	99.5	191	1	0	25	597	1	191	1.47e-133	388.0
LOC_0000RNY.1	h3n2	h2n2	99.0	191	2	0	23	595	1	191	3.91e-133	387.0
LOC_0000RSQ.1	h3n2	h2n2	99.0	191	2	0	21	593	1	191	2.5e-133	387.0
LOC_0000RTN.1	h3n2	h2n2	99.0	191	2	0	23	595	1	191	2.5700000000000003e-133	387.0
LOC_0000S6W.1	h3n2	h2n2	99.0	191	2	0	23	595	1	191	3.91e-133	387.0
LOC_0000S9Q.1	h3n2	h2n2	99.5	191	1	0	23	595	1	191	9.84e-134	389.0
LOC_0000SEE.1	h3n2	h2n2	99.5	191	1	0	23	595	1	191	9.84e-134	389.0
LOC_0000SJ5.1	h3n2	h2n2	99.0	191	2	0	23	595	1	191	3.91e-133	387.0
LOC_0000SNX.1	h3n2	h2n2	99.5	191	1	0	23	595	1	191	9.84e-134	389.0
LOC_0000SPV.1	h3n2	h2n2	99.5	191	1	0	23	595	1	191	9.84e-134	389.0
LOC_0000SSP.1	h3n2	h2n2	99.5	191	1	0	23	595	1	191	9.84e-134	389.0
LOC_0000STM.1	h3n2	h2n2	99.5	191	1	0	25	597	1	191	1.43e-133	388.0
LOC_0000SWF.1	h3n2	h2n2	99.5	191	1	0	23	595	1	191	9.84e-134	389.0
LOC_0000SXD.1	h3n2	h2n2	100.0	191	0	0	25	597	1	191	3.42e-134	389.0
LOC_0000SYB.1	h3n2	h2n2	99.5	191	1	0	23	595	1	191	9.84e-134	389.0
LOC_0000SZ9.1	h3n2	h2n2	100.0	191	0	0	25	597	1	191	5.069999999999999e-134	389.0
LOC_0000T07.1	h3n2	h2n2	100.0	191	0	0	25	597	1	191	5.069999999999999e-134	389.0
LOC_0000T15.1	h3n2	h2n2	99.5	191	1	0	3	575	1	191	5.289999999999999e-134	389.0
LOC_0000T31.1	h2n2	h1n1	98.4	191	3	0	21	593	1	191	4.78e-131	382.0
LOC_0000T4Z.1	h2n2	h1n1	98.4	191	3	0	21	593	1	191	4.78e-131	382.0
LOC_0000T6V.1	h2n2	h1n1	98.4	191	3	0	21	593	1	191	4.78e-131	382.0
LOC_0000T8R.1	h3n2	h2n2	99.5	190	1	0	1	570	2	191	1.2499999999999999e-131	383.0
LOC_0000T9P.1	h3n2	h2n2	100.0	189	0	0	3	569	3	191	5.62e-133	386.0
LOC_0000TAM.1	h3n2	h2n2	99.5	191	1	0	3	575	1	191	7.229999999999999e-134	389.0
