seqName	alignmentAssignedSegment	diamondAssignedSegment	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
LOC_00004B8.1	h2n2	h3n2	92.3	26	2	0	429	506	9	34	2.2e-10	48.5
LOC_00004C6.1	h2n2	h1n1	87.7	155	19	0	2	466	24	178	8.01e-95	267.0
LOC_00004D4.1	h2n2	h1n1pdm	92.0	25	2	0	429	503	9	33	5.81e-10	47.4
LOC_0000T31.1	h1n1	h2n2	94.7	113	6	0	523	861	9	121	8.450000000000001e-72	210.0
LOC_0000T4Z.1	h1n1	h2n2	94.7	113	6	0	523	861	9	121	1.2e-71	210.0
LOC_0000T6V.1	h1n1	h2n2	94.7	113	6	0	521	859	9	121	6.93e-72	210.0
LOC_0000TG9.1	h1n1	h2n2	94.7	113	6	0	523	861	9	121	7.16e-72	210.0
LOC_0000UWD.1	h2n2	h3n2	99.1	113	1	0	511	849	9	121	9.86e-76	220.0
LOC_0000VQQ.1	h1n1	h2n2	94.7	113	6	0	510	848	9	121	6.06e-72	210.0
LOC_0000VWC.1	h1n1	h2n2	94.7	113	6	0	510	848	9	121	6.06e-72	210.0
LOC_0000VXA.1	h1n1	h2n2	94.7	113	6	0	510	848	9	121	6.06e-72	210.0
LOC_0000W04.1	h1n1	h2n2	94.7	113	6	0	510	848	9	121	6.06e-72	210.0
LOC_0000W12.1	h1n1	h2n2	94.7	113	6	0	510	848	9	121	6.06e-72	210.0
LOC_0000W20.1	h1n1	h2n2	94.7	113	6	0	510	848	9	121	6.06e-72	210.0
LOC_0000W3Y.1	h1n1	h2n2	94.7	113	6	0	510	848	9	121	6.06e-72	210.0
LOC_0000W4W.1	h1n1	h2n2	94.7	113	6	0	510	848	9	121	6.06e-72	210.0
LOC_0000W8N.1	h1n1	h2n2	95.6	113	5	0	510	848	9	121	3.02e-72	211.0
LOC_0000W9L.1	h1n1	h2n2	95.6	113	5	0	510	848	9	121	3.02e-72	211.0
LOC_0000WBG.1	h1n1	h2n2	97.3	113	3	0	510	848	9	121	9.209999999999999e-74	215.0
LOC_0000XAH.1	h1n1	h2n2	93.8	113	7	0	482	820	9	121	3.06e-69	203.0
LOC_0000XBF.1	h1n1	h2n2	92.9	113	8	0	482	820	9	121	3.5199999999999996e-68	200.0
LOC_0000XCD.1	h1n1	h2n2	92.9	113	8	0	482	820	9	121	1.1399999999999998e-68	202.0
LOC_0000XDB.1	h1n1	h2n2	92.9	113	8	0	482	820	9	121	1.1399999999999998e-68	202.0
LOC_0000XE9.1	h1n1	h2n2	92.9	113	8	0	482	820	9	121	1.1399999999999998e-68	202.0
LOC_0000YH1.1	h1n1	h2n2	94.7	113	6	0	510	848	9	121	6.06e-72	210.0
